,filename,true_label,pred_label,correct?
0,2967.jpg,quercus_marilandica,crataegus_pruinosa,False
1,13028.jpg,ulmus_rubra,carya_tomentosa,False
2,12019.jpg,acer_rubrum,ptelea_trifoliata,False
3,66.jpg,nyssa_sylvatica,gleditsia_triacanthos,False
4,23150.jpg,zelkova_serrata,acer_pseudoplatanus,False
5,3026.jpg,prunus_sargentii,acer_pseudoplatanus,False
6,4736.jpg,pinus_peucea,crataegus_pruinosa,False
7,20447.jpg,betula_populifolia,prunus_subhirtella,False
8,13366.jpg,pinus_thunbergii,ulmus_americana,False
9,22043.jpg,chionanthus_retusus,prunus_serrulata,False
10,19955.jpg,betula_nigra,liquidambar_styraciflua,False
11,10430.jpg,picea_pungens,prunus_serrulata,False
12,8005.jpg,malus_angustifolia,prunus_serrulata,False
13,12961.jpg,tilia_americana,prunus_subhirtella,False
14,12770.jpg,pyrus_calleryana,acer_pseudoplatanus,False
15,4910.jpg,prunus_serrulata,acer_pseudoplatanus,False
16,22860.jpg,acer_saccharum,liquidambar_styraciflua,False
17,14248.jpg,malus_angustifolia,salix_matsudana,False
18,20984.jpg,koelreuteria_paniculata,metasequoia_glyptostroboides,False
19,5697.jpg,ostrya_virginiana,acer_pseudoplatanus,False
20,21135.jpg,ulmus_glabra,betula_nigra,False
21,10062.jpg,pinus_parviflora,quercus_muehlenbergii,False
22,3113.jpg,ulmus_rubra,metasequoia_glyptostroboides,False
23,10501.jpg,quercus_macrocarpa,salix_babylonica,False
24,15737.jpg,carya_tomentosa,crataegus_pruinosa,False
25,11732.jpg,carya_ovata,quercus_muehlenbergii,False
26,21034.jpg,quercus_acutissima,quercus_macrocarpa,False
27,10453.jpg,pinus_echinata,prunus_yedoensis,False
28,14341.jpg,asimina_triloba,malus_hupehensis,False
29,21800.jpg,cornus_kousa,morus_alba,False
30,7783.jpg,platanus_occidentalis,acer_platanoides,False
31,929.jpg,fraxinus_pennsylvanica,quercus_macrocarpa,False
32,23295.jpg,pinus_bungeana,quercus_muehlenbergii,False
33,23389.jpg,asimina_triloba,liquidambar_styraciflua,False
34,18531.jpg,ptelea_trifoliata,eucommia_ulmoides,False
35,19921.jpg,ulmus_pumila,pinus_echinata,False
36,7295.jpg,ulmus_pumila,aesculus_glabra,False
37,10038.jpg,malus_floribunda,morus_alba,False
38,7581.jpg,prunus_virginiana,morus_alba,False
39,18925.jpg,betula_lenta,quercus_macrocarpa,False
40,3336.jpg,quercus_acutissima,phellodendron_amurense,False
41,9143.jpg,amelanchier_laevis,morus_alba,False
42,21081.jpg,cercis_canadensis,crataegus_pruinosa,False
43,10268.jpg,betula_populifolia,acer_pseudoplatanus,False
44,11544.jpg,celtis_occidentalis,quercus_cerris,False
45,7377.jpg,ginkgo_biloba,acer_platanoides,False
46,7426.jpg,maclura_pomifera,fraxinus_pennsylvanica,False
47,1728.jpg,prunus_serotina,carya_tomentosa,False
48,16172.jpg,oxydendrum_arboreum,crataegus_pruinosa,False
49,19583.jpg,prunus_subhirtella,acer_saccharinum,False
50,1520.jpg,platanus_acerifolia,acer_platanoides,False
51,21519.jpg,betula_nigra,malus_hupehensis,False
52,11685.jpg,cladrastis_lutea,liquidambar_styraciflua,False
53,14724.jpg,chionanthus_retusus,quercus_macrocarpa,False
54,9133.jpg,prunus_serrulata,metasequoia_glyptostroboides,False
55,13863.jpg,diospyros_virginiana,acer_pseudoplatanus,False
56,6108.jpg,quercus_bicolor,acer_platanoides,False
57,16410.jpg,cedrus_libani,carya_tomentosa,False
58,2759.jpg,halesia_tetraptera,acer_pseudoplatanus,False
59,12661.jpg,pinus_densiflora,pinus_rigida,False
60,15899.jpg,betula_populifolia,salix_matsudana,False
61,8286.jpg,ostrya_virginiana,acer_platanoides,False
62,8891.jpg,ulmus_glabra,carya_tomentosa,False
63,20836.jpg,quercus_bicolor,quercus_macrocarpa,False
64,2368.jpg,platanus_occidentalis,quercus_macrocarpa,False
65,12780.jpg,malus_pumila,quercus_virginiana,False
66,22762.jpg,pinus_strobus,quercus_muehlenbergii,False
67,14267.jpg,amelanchier_arborea,ulmus_pumila,False
68,18795.jpg,pinus_cembra,ulmus_americana,False
69,10704.jpg,quercus_marilandica,acer_saccharinum,False
70,6845.jpg,carpinus_caroliniana,tilia_americana,False
71,10384.jpg,acer_palmatum,salix_matsudana,False
72,13910.jpg,metasequoia_glyptostroboides,abies_concolor,False
73,16679.jpg,quercus_coccinea,ulmus_pumila,False
74,3922.jpg,prunus_yedoensis,prunus_serrulata,False
75,1628.jpg,eucommia_ulmoides,prunus_serrulata,False
76,21174.jpg,broussonettia_papyrifera,stewartia_pseudocamellia,False
77,12179.jpg,betula_alleghaniensis,ulmus_rubra,False
78,1118.jpg,betula_jacqemontii,acer_pseudoplatanus,False
79,23180.jpg,betula_jacqemontii,betula_nigra,False
80,9719.jpg,evodia_daniellii,liquidambar_styraciflua,False
81,15251.jpg,pinus_bungeana,pinus_rigida,False
82,733.jpg,quercus_muehlenbergii,acer_pseudoplatanus,False
83,3011.jpg,broussonettia_papyrifera,prunus_serrulata,False
84,17974.jpg,celtis_occidentalis,acer_platanoides,False
85,2468.jpg,staphylea_trifolia,malus_hupehensis,False
86,1936.jpg,salix_matsudana,acer_pseudoplatanus,False
87,6753.jpg,broussonettia_papyrifera,acer_pseudoplatanus,False
88,17333.jpg,salix_matsudana,crataegus_pruinosa,False
89,2617.jpg,pinus_koraiensis,chamaecyparis_thyoides,False
90,5276.jpg,catalpa_speciosa,metasequoia_glyptostroboides,False
91,16362.jpg,prunus_sargentii,chamaecyparis_thyoides,False
92,1009.jpg,pinus_nigra,pinus_bungeana,False
93,22892.jpg,pseudolarix_amabilis,gleditsia_triacanthos,False
94,3768.jpg,styrax_obassia,morus_alba,False
95,10903.jpg,malus_pumila,malus_hupehensis,False
96,11812.jpg,pinus_sylvestris,pinus_rigida,False
97,17036.jpg,castanea_dentata,aesculus_glabra,False
98,9146.jpg,castanea_dentata,quercus_macrocarpa,False
99,13164.jpg,ginkgo_biloba,gleditsia_triacanthos,False
100,15010.jpg,betula_nigra,gleditsia_triacanthos,False
101,22031.jpg,acer_saccharum,acer_saccharinum,False
102,6437.jpg,maclura_pomifera,acer_platanoides,False
103,19252.jpg,pinus_parviflora,acer_saccharinum,False
104,15682.jpg,pinus_rigida,quercus_muehlenbergii,False
105,5744.jpg,tilia_americana,quercus_robur,False
106,7557.jpg,pinus_koraiensis,metasequoia_glyptostroboides,False
107,3446.jpg,ulmus_pumila,acer_saccharinum,False
108,15762.jpg,pinus_strobus,pinus_rigida,False
109,18313.jpg,sassafras_albidum,quercus_nigra,False
110,445.jpg,ulmus_glabra,prunus_sargentii,False
111,6582.jpg,platanus_occidentalis,liquidambar_styraciflua,False
112,21385.jpg,populus_grandidentata,metasequoia_glyptostroboides,False
113,9832.jpg,quercus_phellos,acer_griseum,False
114,11351.jpg,populus_deltoides,morus_alba,False
115,18245.jpg,maclura_pomifera,crataegus_pruinosa,False
116,2652.jpg,cornus_florida,acer_campestre,False
117,416.jpg,morus_rubra,crataegus_pruinosa,False
118,2622.jpg,malus_angustifolia,liquidambar_styraciflua,False
119,12706.jpg,magnolia_virginiana,acer_pseudoplatanus,False
120,20866.jpg,sassafras_albidum,metasequoia_glyptostroboides,False
121,21357.jpg,evodia_daniellii,quercus_macrocarpa,False
122,17680.jpg,quercus_stellata,crataegus_pruinosa,False
123,21834.jpg,paulownia_tomentosa,prunus_yedoensis,False
124,15914.jpg,prunus_virginiana,quercus_virginiana,False
125,2187.jpg,prunus_pensylvanica,salix_matsudana,False
126,21138.jpg,malus_pumila,fagus_grandifolia,False
127,6271.jpg,tilia_europaea,platanus_acerifolia,False
128,14915.jpg,acer_saccharum,quercus_bicolor,False
129,12462.jpg,gymnocladus_dioicus,betula_nigra,False
130,16656.jpg,catalpa_bignonioides,sassafras_albidum,False
131,15644.jpg,betula_jacqemontii,betula_nigra,False
132,15688.jpg,prunus_virginiana,betula_nigra,False
133,15119.jpg,aesculus_flava,malus_pumila,False
134,6593.jpg,styrax_obassia,betula_populifolia,False
135,14290.jpg,catalpa_bignonioides,betula_nigra,False
136,8464.jpg,acer_pseudoplatanus,malus_pumila,False
137,18045.jpg,paulownia_tomentosa,ulmus_pumila,False
138,6931.jpg,chionanthus_virginicus,pinus_strobus,False
139,19449.jpg,acer_palmatum,prunus_sargentii,False
140,10959.jpg,styrax_obassia,tilia_americana,False
141,2001.jpg,maclura_pomifera,betula_nigra,False
142,13887.jpg,phellodendron_amurense,quercus_marilandica,False
143,22567.jpg,quercus_shumardii,betula_nigra,False
144,900.jpg,populus_deltoides,ulmus_pumila,False
145,7189.jpg,carya_glabra,ulmus_pumila,False
146,21311.jpg,malus_baccata,salix_matsudana,False
147,1569.jpg,acer_palmatum,betula_nigra,False
148,19631.jpg,chamaecyparis_pisifera,ulmus_pumila,False
149,11900.jpg,amelanchier_arborea,betula_nigra,False
150,18618.jpg,broussonettia_papyrifera,broussonettia_papyrifera,True
151,18571.jpg,cryptomeria_japonica,betula_nigra,False
152,4817.jpg,quercus_muehlenbergii,ginkgo_biloba,False
153,8994.jpg,ptelea_trifoliata,ulmus_pumila,False
154,21425.jpg,pinus_sylvestris,ginkgo_biloba,False
155,12373.jpg,ulmus_parvifolia,ulmus_glabra,False
156,9643.jpg,pinus_flexilis,ulmus_pumila,False
157,10856.jpg,salix_caroliniana,tilia_americana,False
158,16775.jpg,catalpa_bignonioides,maclura_pomifera,False
159,15190.jpg,styrax_japonica,fraxinus_pennsylvanica,False
160,910.jpg,picea_pungens,ulmus_glabra,False
161,20670.jpg,staphylea_trifolia,ginkgo_biloba,False
